8,"Italy","Ponte San Pietro (Lombardia)",45.6994224,9.581104399999958
24,"Italy","Bovès (Piemonte)",44.3280068,7.551570399999946
28,"Italy","Gossolengo (Emilia Romagna)",45.00384649999999,9.615586300000018
29,"Italy","Carmagnola (Piemonte)",44.8458851,7.717436300000031
30,"Italy","Marola (Veneto)",44.4804495,10.487509799999998
31,"Italy","Cuneo (Piemonte)",44.3844766,7.542671100000007
32,"Italy","Gambellara (Veneto)",45.46027939999999,11.336193500000036
33,"Italy","Montecucco (Emilia Romagna)",45.038544,9.669349
34,"Italy","Castell'Arquato (Emilia Romagna)",44.85342489999999,9.870467599999984
1,"Spain","Cantonigròs (Osona)",42.0351778,2.399144444
2,"Spain","Santa Eulàlia de Riuprimer (Osona)",41.9250056,2.183027778
3,"Spain","Sant Vicenç de Torelló (Osona)",42.0676361,2.274405556
4,"Spain","Centelles (Osona)",41.797997,2.216376
5,"Spain","Gurb (Osona)",41.97635,2.286861111
6,"Spain","Calldetenes (Osona)",41.925476,2.288012
7,"Spain","Els Hostalets de Balenyà (Osona)",41.8213472,2.205544444
9,"Spain","Vic (Osona)",41.9349167,2.239825
10,"Spain","Santa Cecilia de Voltregà (Osona)",41.9859222,2.238280556
11,"Spain","Sant Martí Sescorts (Osona)",42.01236649,2.310905457
12,"Spain","Taradell (Osona)",41.865225,2.248625
13,"Spain","Manlleu (Osona)",42.0033667,2.287091667
15,"Spain","Sentmenat (Vallès Occidental)",41.6125861,2.155655556
16,"Spain","Barcelona (Barcelonès)",41.386442,2.187461
18,"Spain","Badalona (Barcelonès)",41.4593639,2.229708333
19,"Spain","Llinars del Vallès (Vallès Oriental)",41.6425944,2.405897222
21,"Spain","Santa Eugènia de Berga (Osona)",41.8986639,2.263586111
22,"Spain","Tona (Osona)",41.846738,2.217445
25,"Spain","Santa Eulàlia de Romçana (Vallès Oriental)",41.6370635,2.225213
26,"Spain","Bigues (Vallès Oriental)",41.675802,2.205203
27,"Spain","Sant Cebrià de Vallalta (Maresme)",41.6428889,2.594675
